station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
"KANSAS R NR BELVUE, KS",06888350,39.19305265,-96.1474945,06863000,06824000,06863000
"KANSAS R NR LAKE QUIVIRA, KS",06892518,39.0461111,-94.7894444,,,
"KEYA PAHA RIVER AT WEWELA,SD",06464500,43.0270872,-99.780921,,06464100,06464100
"KEYA PAHA RIVER NEAR KEYAPAHA,SD",06464100,43.12917164,-100.1070671,06463900,06463900,06463900
"KILL C AT 95TH ST NR DESOTO, KS",06892360,38.95666667,-94.9736111,,,
"KINGS C NR MANHATTAN, KS",06879650,39.102075,-96.5946889,,,
"KNIFE RIVER AT HAZEN, ND",06340500,47.2852816,-101.6221093,,06339960,06339960
"KNIFE RIVER AT MANNING, ND",06339100,47.2361259,-102.7699074,,,
"KNIFE RIVER NEAR BEULAH, ND",06340010,47.25388889,-101.7855556,06339100,06339960,06339100
"KNIFE RIVER NEAR GOLDEN VALLEY, ND",06339500,47.1543948,-102.0599856,06339100,06339100,06339100
"KNIFE RIVER NR STANTON, ND",06340590,47.35800937,-101.3977419,06340010,06339960,06340010
"Keg Creek at Epperson Avenue near Glenwood, IA",06805850,41.1021111,-95.7184167,,,
"L BLUE R NR BARNES, KS",06884400,39.72583518,-96.8047432,,06883000,06883000
"L BULL C NR SPRING HILL, KS",06914990,38.7675084,-94.8794073,,,
"L MEDICINE BOW R AT BOLES SPRING, NR MEDICINE BOW",06634620,41.96105917,-106.2092391,06634060,06634060,06634060
"L Medicine Bow R ab Sand Cr, nr Shirley Basin, WY",06634060,42.3311111,-106.1552778,,,
"L OSAGE R AT FULTON, KS",06917000,38.00892428,-94.7041264,,,
"LAKE CR ABOVE REFUGE NEAR TUTHILL,SD",06448000,43.08711217,-101.60387,,,
"LAKE CREEK BELOW REFUGE NEAR TUTHILL,SD",06449000,43.1459166,-101.5128713,06448000,06448000,06448000
"LAKEWOOD GULCH AT DENVER, CO",06711780,39.73519444,-105.0313611,,06711770,06711770
"LARAMIE R AND PIONEER CANAL NR WOODS LANDING, WY",06659500,41.13801288,-105.9808908,,,
"LARAMIE R BL PIONEER CANAL, NR WOODS LANDING, WY",06659502,41.13829066,-105.9803352,,06659500,06659500
"LARAMIE RIVER AT LARAMIE, WY",06660000,41.32777778,-105.6074167,06659502,06659580,06659502
"LARAMIE RIVER NEAR BOSLER, WY",06661585,41.5546769,-105.6833853,06659502,06659580,06659502
"LARAMIE RIVER NEAR FORT LARAMIE, WY",06670500,42.2005103,-104.5383548,06659502,06665790,06659502
"LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO",06714800,39.68720955,-105.7002821,,,
"LEE GULCH AT LITTLETON, CO",06709740,39.59611111,-105.01602778,,,
"LEFT HAND CREEK AT HOVER ROAD NEAR LONGMONT, CO",06724970,40.13427778,-105.1308194,,,
"LEFTHAND DITCH AT HEADWORKS, NEAR RIVERTON, WY",06227810,43.02607066,-108.5206659,06222100,06222510,06222100
"LENA GULCH AT LAKEWOOD, CO",06719560,39.74040278,-105.1488333,,,
"LITTLE DRY CREEK ABOVE ENGLEWOOD, CO",06711555,39.64914689,-104.97890217,06711515,06711515,06711515
"LITTLE DRY CREEK AT WESTMINSTER, CO",06719840,39.82655278,-105.0400639,,,
"LITTLE DRY CREEK NR ARAPAHOE RD AT CENTENNIAL, CO",06711515,39.59373611,-104.9065,,,
"LITTLE DRY CRK BLW FEDERAL BLVD AT WESTMINSTER, CO",06719845,39.81936667,-105.0214472,,,
"LITTLE GOOSE CREEK IN CANYON, NEAR BIG HORN, WY",06303500,44.5959722,-107.0397222,,,
"LITTLE LARAMIE RIVER NEAR FILMORE, WY",06661000,41.2949554,-106.0347828,,,
"LITTLE MISSOURI RIVER ABOVE MOUTH NEAR OAKDALE, ND",06337300,47.5978611,-102.7664722,06334500,06335750,06334500
"LITTLE MISSOURI RIVER AT CAMP CROOK,SD",06334500,45.5481343,-103.9712386,,,
"LITTLE MISSOURI RIVER AT MARMARTH, ND",06335500,46.29777778,-103.9175,06334500,06334500,06334500
"LITTLE MISSOURI RIVER AT MEDORA, ND",06336000,46.91684167,-103.53228333,06334500,06335750,06334500
"LITTLE MISSOURI RIVER NR WATFORD CITY, ND",06337000,47.59140556,-103.2526667,06334500,06335750,06334500
"LITTLE MUDDY RIVER BL COW CREEK NR WILLISTON, ND",06331000,48.2844683,-103.5729718,,06330515,06330515
"LITTLE OWL CREEK NEAR NUNN, CO",06753600,40.80525,-104.7621944,,,
"LITTLE POPO AGIE RIVER NEAR LANDER, WY",06233000,42.7166259,-108.6434455,,,
"LITTLE POWDER RIVER AB DRY CREEK, NEAR WESTON, WY",06324970,44.9268794,-105.3534087,,,
"LITTLE SPEARFISH CREEK NEAR LEAD, SD",06430850,44.3496865,-103.9359118,,,
"LITTLE VERMILLION R NEAR SALEM,SD",06478540,43.79464436,-97.3690086,,,
"LITTLE WHITE RIVER BELOW WHITE RIVER,SD",06450500,43.60138549,-100.7498608,06449500,06448000,06449500
"LITTLE WHITE RIVER NEAR MARTIN,SD",06447500,43.1669155,-101.6327322,,,
LITTLE WHITE RIVER NEAR ROSEBUD SD,06449500,43.3255586,-100.8837556,06447500,06448000,06447500
"LITTLE WHITE RIVER NEAR VETAL,SD",06449100,43.10069918,-101.232234,06447500,06448000,06447500
"LITTLE WIND RIVER NEAR RIVERTON, WY",06235500,42.9975,-108.3754167,06228350,06233000,06228350
